Name,Value,Class
AC,63x315,double
accuracy,1,double
ACTAB,160x19,double
AC_k,1x63,double
AC_one,1x71,double
AC_output,1x23207,double
amplitude,-1,double
bin,1x1,logical
bin_num,1x1,logical
category,4,double
com_ratio,6.3904,double
DC,1x315,double
DCTAB,12x10,double
dct_1,120x168,double
DC_diff,1x315,double
DC_output,1x2031,double
h,15,double
hall_color,120x168x3,uint8
hall_gray,120x168,uint8
height,120,double
huff,1x6,double
i,315,double
idx,31,double
indices,6,double
info_in,315x1,char
info_num,315,double
initial,120x168,double
j,4,double
k,315,double
l,15,double
len,6,double
MSE,50.1136,double
not_zero,1x15,double
num_zero,1x15,double
out_matrix,64x315,double
out_matrix_2,20160x1,double
out_matrix_3,64x315,double
out_matrix_bin,20160x8,char
PSNR,31.1312,double
QTAB,8x8,double
ratio,64,double
re_image,120x168,uint8
re_info,315x1,double
run,3,double
size_,1,double
w,21,double
width,168,double
